model,J,M,M_cluster_complete,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,30,9,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
norm_bound,30,9,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
norm_bound,30,9,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
norm_bound,30,9,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
norm_bound,30,10,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
norm_bound,30,10,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
norm_bound,30,10,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
norm_bound,30,10,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,,,tail_ignored,x_only,0.2,0.0,0.2,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-13.35789251319255,-13.189512840739116,2.400915190050359,2.569294862503792,True,True,exploratory_double
symmetry_x_even,30,,,tail_ignored,y_only,0.0,0.003408230787800825,0.003408230787800825,29.817278886704845,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.858890500210748,-12.860448409850832,0.0015579096400859527,1.7763568394002505e-15,True,True,exploratory_double
symmetry_x_even,30,,,tail_ignored,omega_up,0.033904434781652976,0.0033904434781652977,0.03407353525600174,29.851599225538827,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.875516556500731,-12.872210719279124,1.7763568394002505e-15,0.0033058372216085985,True,True,exploratory_double
symmetry_x_even,30,,,tail_ignored,square,0.003408089539495919,0.003408089539495919,0.004819766448537004,29.81755142312454,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.859059282179137,-12.86056806298808,0.0015087808089440102,1.7763568394002505e-15,True,True,exploratory_double
signed_xxy,30,,,tail_ignored,x_only,0.2,0.0,0.2,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-13.35789251319255,-13.189512840739116,2.400915190050359,2.569294862503792,True,True,exploratory_double
signed_xxy,30,,,tail_ignored,y_only,0.0,0.09886373270055941,0.09886373270055941,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-13.959813648744342,-13.944573664577215,1.7763568394002505e-15,0.01523998416712935,True,True,exploratory_double
signed_xxy,30,,,tail_ignored,omega_up,0.2,0.020000000000000004,0.2009975124224178,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-13.637399066293009,-13.462063407637975,1.7574745621669052,1.9328102208219384,True,True,exploratory_double
signed_xxy,30,,,tail_ignored,square,0.09245855932833408,0.09245855932833408,0.1307561485596075,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-14.076366690996611,-14.021156712206315,8.881784197001252e-15,0.055209978790305314,True,True,exploratory_double
symmetry_x_even,30,5,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,5,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,5,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,5,True,neumann_corrected_tail,square,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,5,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,5,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,5,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,5,True,neumann_corrected_tail,square,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,6,False,neumann_corrected_tail,x_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,6,False,neumann_corrected_tail,y_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,6,False,neumann_corrected_tail,omega_up,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,6,False,neumann_corrected_tail,square,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,6,False,neumann_corrected_tail,x_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,6,False,neumann_corrected_tail,y_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,6,False,neumann_corrected_tail,omega_up,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
signed_xxy,30,6,False,neumann_corrected_tail,square,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
symmetry_x_even,30,7,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,7,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,7,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,7,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,7,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,7,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,7,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,7,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,8,False,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,8,False,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,8,False,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,8,False,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,8,False,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,8,False,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,8,False,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,8,False,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,9,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,9,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,9,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,9,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,9,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,9,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,9,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,9,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,10,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
